id,category,question,context,answer,doc_len
25,Regulamento,Quem é elegível para o Regime de Exercício Domiciliar?,,"Estudantes com problemas de saúde que não tiverem condições de frequentar as aulas, mas que tenham condições de estudar em casa, grávidas e estudantes que precisem prestar assistência a familiares em tratamento médico são elegíveis para o Regime de Exercício Domiciliar.",9
26,Regulamento,Quais são as condições para o exercício domiciliar?,,O estudante deve se encaixar nas condições estabelecidas pelo regulamento.,8
27,Regulamento,O que o professor deve orientar o aluno a fazer durante sua ausência?,,O professor deve orientar o aluno a realizar em casa o estudo e os exercícios necessários para o aprendizado do conteúdo.,13
28,Regulamento,Quais são as condições para realização de provas em casa?,,"Se forem realizados exercícios escolares para avaliação, o aluno poderá, a critério do professor, realizar a prova em casa ou em data alternativa, quando retorne às atividades.",10
29,Regulamento,Quem deve estar presente na realização da prova em casa durante o exercício domiciliar?,,"Se a avaliação for realizada em casa, exigirá a presença do professor ou de algum servidor da UFCG.",14
30,Regulamento,O que o professor deve planejar para afastamentos de mais de 15 dias no caso de Regime de Exercício Domiciliar?,,"Para afastamentos de mais de 15 dias, o professor deverá planejar explicitamente o conjunto de tarefas que o estudante deverá executar.",20
31,Regulamento,Quais são as consequências do exercício domiciliar?,,"Ao final do período, o professor deve exigir trabalho versando sobre os tópicos estudados.",7
32,Regulamento,O que o professor deve exigir ao final do período em caso de Regime de Exercício Domiciliar?,,O professor deve exigir trabalho versando sobre os tópicos estudados.,17
33,Regulamento,O que é Exercício Domiciliar?,,Exercício Domiciliar é um regime de ensino a distância aplicado ao curso de Ciência da Computação na UFCG.,5
34,Regulamento,Quais são as condições para aplicação do Exercício Domiciliar?,,O Exercício Domiciliar pode ser aplicado quando for impossível aplicar o regime de exercícios presenciais.,9
35,Regulamento,Qual é o direito assegurado ao estudante caso não seja possível aplicar o regime de exercício domiciliares,,"O estudante terá o direito ao trancamento da disciplina, em qualquer época do período letivo.",17
36,Regulamento,Quem regulamenta o Exercício Domiciliar?,,O Exercício Domiciliar é regulamentado pelos artigos 85 a 91 do Regulamento de Ensino de Graduação da UFCG.,5
37,Regulamento,O Exercício Domiciliar se aplica somente ao curso de Ciência da Computação?,,"Não, o Exercício Domiciliar se aplica a todos os cursos da UFCG.",12
38,Regulamento,O que acontece se não for possível aplicar o Exercício Domiciliar?,,"Se não for possível aplicar o Exercício Domiciliar, o estudante terá o direito ao trancamento da disciplina, em qualquer época do período letivo.",11
39,Regulamento,Quais os artigos do Regulamento de Ensino de Graduação da UFCG que regulamentam a assistência domiciliar?,,Resposta: Os artigos 85 a 91.,16
40,Regulamento,Qual o artigo do Regulamento de Ensino de Graduação da UFCG que reforça o direito ao trancamento?,,Resposta: O artigo 49.,17
41,Regulamento,O que é Exercício Domiciliar?,,Exercício Domiciliar é o regime de ensino em que o aluno tem direito a realizar atividades acadêmicas fora da instituição de ensino.,5
42,Regulamento,Quais são as vantagens do Exercício Domiciliar?,,"As vantagens do Exercício Domiciliar incluem maior flexibilidade de horários, maior controle sobre o tempo de estudo, e a possibilidade de realizar atividades acadêmicas fora da instituição de ensino.",7
43,Regulamento,Quais são as desvantagens do Exercício Domiciliar?,,"Resposta: As desvantagens do Exercício Domiciliar incluem a falta de interação com outros alunos e professores, a dificuldade de acompanhar as atividades acadêmicas de maneira eficaz, e a falta de motivação para realizar as atividades.",7
44,Regulamento,Quais são os requisitos para o trancamento do Exercício Domiciliar?,,Resposta: Os requisitos para o trancamento do Exercício Domiciliar são impossibilidade de aplicar o regime.,10
45,Regulamento,O pedido de Exercício Domiciliar deve ser feito até quantos dias após o início do afastamento?,,O pedido deve ser feito no máximo até 5 dias após o início do afastamento.,16
46,Regulamento,O pedido de Exercício Domiciliar pode ser feito por outra pessoa?,,"Sim, o pedido pode ser feito por outra pessoa em nome do interessado.",11
47,Regulamento,As faltas às aulas em período não coberto pelo regime domiciliar podem ser eliminadas?,,"Não, as faltas às aulas em período não coberto pelo regime domiciliar não podem ser eliminadas.",14
48,Regulamento,"Quando o aluno já tiver faltas registradas em número maior a 25% do total da carga horária, o que acontecerá?",,"Nesse caso, já estará caracterizada a reprovação por faltas e, portanto, a impossibilidade de concessão do regime domiciliar.",20
49,Regulamento,Como a coordenação verificará as faltas do aluno em caso de solicitação de Regime de Exercício Domiciliar?,,"A coordenação contactará os professores das disciplinas, solicitando as faltas até o indicado momento do início do afastamento.",17
50,Regulamento,O que é necessário para o pedido de Exercício Domiciliar?,,É necessário um atestado médico para o pedido de Exercício Domiciliar.,10
51,Regulamento,O que acontece quando o aluno não cumpre os requisitos do Exercício Domiciliar?,,"Quando o aluno não cumpre os requisitos do Exercício Domiciliar, a concessão do regime domiciliar não será possível.",13
52,Regulamento,Quais são as condições para a realização da antecipação de estudos na UFCG?,,É necessário estar no último período do curso e ter poucos créditos a pagar.,13
53,Regulamento,O que é a antecipação de estudos?,,"É a execução das atividades referentes a um semestre de forma acelerada, para permitir a colação de grau antecipada.",7
54,Regulamento,Quais são as vantagens da antecipação de estudos?,,A vantagem é a colação de grau antecipada.,8
55,Regulamento,Quem pode realizar a antecipação de estudos?,,Estudantes que estão no último período do curso e possuem poucos créditos a pagar.,7
56,Regulamento,Qual é o objetivo da antecipação de estudos?,,O objetivo é permitir a colação de grau antecipada.,8
57,Regulamento,Quais são as condições necessárias para a realização da antecipação de estudos?,,É necessário estar no último período do curso e ter poucos créditos a pagar.,12
58,Regulamento,Como é realizada a antecipação de estudos?,,A antecipação de estudos consiste em executar as atividades referentes a um semestre de forma acelerada.,7
59,Regulamento,O que é necessário para solicitar antecipação de estudos?,,"É necessário uma solicitação formal à coordenação de curso, com anuência da Pró-Reitoria de Ensino e Graduação, e o processo deverá conter os dados e documentos: Comprovante de matrícula no período vigente, Justificativa e Comprovação da necessidade de antecipação.",9
60,Regulamento,Quem deve autorizar a antecipação de estudos?,,A Pró-Reitoria de Ensino e Graduação deve autorizar a antecipação de estudos.,7
61,Regulamento,O que é preciso para comprovar a necessidade de antecipação?,,É necessário comprovar a necessidade de antecipação com uma justificativa e comprovação.,10
62,Regulamento,Qual é o curso que permite a antecipação de estudos?,,O curso de Ciência da Computação da UFCG permite a antecipação de estudos.,10
63,Regulamento,Quem deve solicitar a antecipação de estudos?,,O aluno deve solicitar a antecipação de estudos à coordenação de curso.,7
64,Regulamento,Qual é o documento necessário para solicitar a antecipação de estudos?,,É necessário apresentar o comprovante de matrícula no período vigente para solicitar a antecipação de estudos.,11
65,Regulamento,O curso de Ciência da Computação permite realizar antecipação de estudo?,,"Sim, É possível realizar a antecipação de estudos no curso de Ciência da Computação da UFCG.",11
66,Regulamento,Quais são as etapas necessárias para encaminhar o processo de Antecipação de Estudos?,,"Primeiro, é necessário contactar a coordenação e cada um dos professores envolvidos. Depois, coletar os documentos da Justificativa e da Comprovação da necessidade de Antecipação. Por fim, registrar o processo no Protocolo Geral e encaminhá-lo à coordenação de curso antes do início das atividades da disciplina.",13
67,Regulamento,Onde o processo de Antecipação de Estudos deve ser registrado?,,"O processo deve ser registrado no Protocolo Geral, localizado no prédio da Reitoria.",10
68,Regulamento,Quais documentos são necessários para montar o processo inicial?,,"Para montar o processo inicial, são necessários os documentos da Justificativa e da Comprovação da necessidade de Antecipação.",9
69,Regulamento,Quando o processo de Antecipação de Estudos deve ser encaminhado à coordenação de curso?,,"O processo deve ser encaminhado à coordenação de curso antes do início das atividades da disciplina, preferencialmente antes das matrículas.",14
70,Regulamento,Quem deve ser contactado para encaminhar o processo de Antecipação de Estudos?,,"Para encaminhar o processo, é necessário contactar a coordenação e cada um dos professores envolvidos.",12
71,Regulamento,Onde o processo de Antecipação de Estudos deve ser registrado?,,"O processo deve ser registrado no Protocolo Geral, localizado no prédio da Reitoria.",10
72,Regulamento,Qual é o efetivo início das atividades de Antecipação de Estudos?,,"O efetivo início das atividades depende da concordância dos professores por escrito, da autorização por parte da coordenação de curso e da anuência da PRE.",11
73,Regulamento,Quem deve ser contactado para dar início à execução do plano?,,Os professores das disciplinas devem ser contactados para dar início à execução do plano.,11
74,Regulamento,O que é necessário para que o efetivo início das atividades seja formalizado?,,É necessário que a resposta ao processo seja formalizada para que o efetivo início das atividades seja formalizado.,13
75,Regulamento,Quem deve dar a autorização para o início das atividades?,,A autorização para o início das atividades deve ser dada pela coordenação de curso.,10
76,Regulamento,Quem é a PRE?,,PRE é a sigla para Pró-Reitoria de Ensino.,4
77,Regulamento,O que é necessário para que os professores sejam contactados?,,É necessário que a resposta ao processo seja formalizada para que os professores sejam contactados.,10
78,Regulamento,Quem deve dar a concordância por escrito para o início das atividades?,,Os professores devem dar a concordância por escrito para o início das atividades.,12
79,Significado de Sigla de Disciplina,Me diga o que é FMCC1,,Fmcc1 é a abreviação para: fundamentos de matemática para ciência da computação 1,6
80,Significado de Sigla de Disciplina,Me diga o que é fmcc1,,Fmcc1 é uma forma que dão nome para: fundamentos de matemática para ciência da computação 1,6
81,Significado de Sigla de Disciplina,Você pode me explicar o que fmcc significa,,"Mais de uma disciplina é chamada por fmcc, são elas: fundamentos de matemática para ciência da computação 1 e fundamentos de matemática para ciência da computação 2",8
82,Significado de Sigla de Disciplina,Você pode me dizer o que FMCC significa?,,"Mais de uma disciplina é chamada por fmcc, são elas: fundamentos de matemática para ciência da computação 1 e fundamentos de matemática para ciência da computação 2",8
83,Significado de Sigla de Disciplina,Poderia explicar o que P1 quer dizer?,,"Mais de uma disciplina é chamada por p1, são elas: programação 1 e projeto em computação 1",7
84,Significado de Sigla de Disciplina,Você pode me explicar o que p1 significa,,P1 pode ser: programação 1 e projeto em computação 1,8
85,Significado de Sigla de Disciplina,Você pode me dizer o que prog1 significa?,,Prog1 é uma forma que dão nome para: programação 1,8
86,Significado de Sigla de Disciplina,O que significa PROG1?,,Prog1 significa: programação 1,4
87,Significado de Sigla de Disciplina,O que significa LP1?,,Lp1 é: laboratório de programação 1,4
88,Significado de Sigla de Disciplina,Qual disciplina é: lp1?,,Lp1 é a abreviação de: laboratório de programação 1,4
89,Significado de Sigla de Disciplina,O que é lab1,,Laboratório de programação 1 é o significado para lab1,4
90,Significado de Sigla de Disciplina,Você pode me explicar o que LAB1 significa,,Lab1 é a abreviação para: laboratório de programação 1,8
91,Significado de Sigla de Disciplina,Você pode me explicar o que IC significa,,Ic é: introdução à computação,8
92,Significado de Sigla de Disciplina,Qual é o significado dessa sigla: ic?,,Ic é uma forma de chamar: introdução à computação,7
93,Significado de Sigla de Disciplina,Você pode me explicar o que DC significa,,Dc é a abreviação de: direito e cidadania,8
94,Significado de Sigla de Disciplina,Me diga o que é dc,,Dc é como chamam: direito e cidadania,6
95,Significado de Sigla de Disciplina,O que significa FMCC2?,,Fmcc2 é: fundamentos de matemática para ciência da computação 2,4
96,Significado de Sigla de Disciplina,Me diga o que é fmcc2,,Fundamentos de matemática para ciência da computação 2 é o significado para fmcc2,6
97,Significado de Sigla de Disciplina,Poderia explicar o que Cálculo 1 quer dizer?,,Cálculo 1 significa: cálculo diferencial e integral 1,8
98,Significado de Sigla de Disciplina,Você pode esclarecer o significado de Cálculo I para mim?,,Cálculo diferencial e integral 1 é o significado para cálculo i,10
99,Significado de Sigla de Disciplina,Você pode esclarecer o significado de Cálculo para mim?,,Cálculo é uma forma que dão nome para: cálculo diferencial e integral 1,9
100,Significado de Sigla de Disciplina,Me diga o que é cálculo 1,,Cálculo 1 é a abreviação para: cálculo diferencial e integral 1,7
101,Significado de Sigla de Disciplina,O que é Calculo 1,,Calculo 1 é a abreviação para: cálculo diferencial e integral 1,5
102,Significado de Sigla de Disciplina,Poderia explicar o que calculo 1 quer dizer?,,Calculo 1 é uma forma de chamar: cálculo diferencial e integral 1,8
103,Significado de Sigla de Disciplina,Você pode me dizer o que cálculo i significa?,,Cálculo i é a abreviação de: cálculo diferencial e integral 1,9
104,Significado de Sigla de Disciplina,Você pode esclarecer o significado de Calculo I para mim?,,Calculo i significa: cálculo diferencial e integral 1,10
105,Significado de Sigla de Disciplina,Qual é o significado dessa sigla: calculo i?,,Calculo i significa: cálculo diferencial e integral 1,8
106,Significado de Sigla de Disciplina,Pode me dar a definição de cálculo?,,Cálculo é a abreviação para: cálculo diferencial e integral 1,7
107,Significado de Sigla de Disciplina,O que é Calculo,,Calculo é uma forma de chamar: cálculo diferencial e integral 1,4
108,Significado de Sigla de Disciplina,Você pode me dizer o que calculo significa?,,Calculo é a abreviação de: cálculo diferencial e integral 1,8
109,Significado de Sigla de Disciplina,Qual é o significado dessa sigla: P2?,,"Mais de uma disciplina é chamada por p2, são elas: programação 2 e projeto em computação 2",7
110,Significado de Sigla de Disciplina,Poderia explicar o que p2 quer dizer?,,"Mais de uma disciplina é chamada por p2, são elas: programação 2 e projeto em computação 2",7
111,Significado de Sigla de Disciplina,Você pode esclarecer o significado de prog2 para mim?,,Prog2 significa: programação 2,9
112,Significado de Sigla de Disciplina,Você pode esclarecer o significado de PROG2 para mim?,,Prog2 significa: programação 2,9
113,Significado de Sigla de Disciplina,Me diga o que é LP2,,Lp2 é uma forma que dão nome para: laboratório de programação 2,6
114,Significado de Sigla de Disciplina,Você pode me explicar o que lp2 significa,,Lp2 é a abreviação para: laboratório de programação 2,8
115,Significado de Sigla de Disciplina,Qual disciplina é: LAB2?,,Laboratório de programação 2 é o significado para lab2,4
116,Significado de Sigla de Disciplina,Você pode me explicar o que lab2 significa,,Lab2 é a sigla de: laboratório de programação 2,8
117,Significado de Sigla de Disciplina,Pode me dar a definição de linear?,,Linear é uma forma de chamar: álgebra linear 1,7
118,Significado de Sigla de Disciplina,O que é Linear,,Linear é a sigla de: álgebra linear 1,4
119,Significado de Sigla de Disciplina,Poderia explicar o que Álgebra quer dizer?,,Álgebra linear 1 é o significado para álgebra,7
120,Significado de Sigla de Disciplina,Qual é o significado dessa sigla: algebra?,,Algebra é como chamam: álgebra linear 1,7
121,Significado de Sigla de Disciplina,Qual disciplina é: álgebra?,,Álgebra é a sigla de: álgebra linear 1,4
122,Significado de Sigla de Disciplina,Poderia explicar o que Algebra quer dizer?,,Algebra é uma forma de chamar: álgebra linear 1,7
123,Significado de Sigla de Disciplina,Você pode esclarecer o significado de Cálculo 2 para mim?,,Cálculo 2 é uma forma de chamar: cálculo diferencial e integral 2,10
124,Significado de Sigla de Disciplina,Você pode esclarecer o significado de Cálculo II para mim?,,Cálculo ii é como chamam: cálculo diferencial e integral 2,10
125,Significado de Sigla de Disciplina,Você pode me dizer o que cálculo 2 significa?,,Cálculo 2 é a abreviação para: cálculo diferencial e integral 2,9
126,Significado de Sigla de Disciplina,O que significa Calculo 2?,,Calculo 2 é: cálculo diferencial e integral 2,5
127,Significado de Sigla de Disciplina,Qual é o significado dessa sigla: calculo 2?,,Calculo 2 é uma forma de chamar: cálculo diferencial e integral 2,8
128,Significado de Sigla de Disciplina,Qual é o significado dessa sigla: cálculo ii?,,Cálculo ii é a sigla de: cálculo diferencial e integral 2,8
129,Significado de Sigla de Disciplina,Você pode me dizer o que Calculo II significa?,,Cálculo diferencial e integral 2 é o significado para calculo ii,9
130,Significado de Sigla de Disciplina,Pode me dar a definição de calculo ii?,,Calculo ii é uma forma de chamar: cálculo diferencial e integral 2,8
131,Significado de Sigla de Disciplina,Qual é o significado dessa sigla: EDA?,,Eda é: estruturas de dados e algoritmos,7
132,Significado de Sigla de Disciplina,Me diga o que é eda,,Eda é a abreviação de: estruturas de dados e algoritmos,6
133,Significado de Sigla de Disciplina,Você pode me dizer o que LEDA significa?,,Leda é uma forma de chamar: laboratório de estruturas de dados e algoritmos,8
134,Significado de Sigla de Disciplina,O que é leda,,Laboratório de estruturas de dados e algoritmos é o significado para leda,4
135,Significado de Sigla de Disciplina,Você pode me explicar o que Lógica significa,,Lógica é a sigla de: lógica para computação,8
136,Significado de Sigla de Disciplina,Você pode me dizer o que lógica significa?,,Lógica é a abreviação para: lógica para computação,8
137,Significado de Sigla de Disciplina,Poderia explicar o que logica quer dizer?,,Logica é como chamam: lógica para computação,7
138,Significado de Sigla de Disciplina,Você pode me explicar o que Logica significa,,Logica é: lógica para computação,8
139,Significado de Sigla de Disciplina,Pode me dar a definição de TG?,,Tg é a abreviação para: teoria dos grafos,7
140,Significado de Sigla de Disciplina,Qual é o significado dessa sigla: tg?,,Teoria dos grafos é o significado para tg,7
141,Significado de Sigla de Disciplina,Qual disciplina é: Grafos?,,Grafos é a abreviação para: teoria dos grafos,4
142,Significado de Sigla de Disciplina,Me diga o que é grafos,,Grafos significa: teoria dos grafos,6
143,Significado de Sigla de Disciplina,Poderia explicar o que Prob quer dizer?,,Prob é como chamam: introdução à probabilidade,7
144,Significado de Sigla de Disciplina,Você pode esclarecer o significado de prob para mim?,,Prob é: introdução à probabilidade,9
145,Significado de Sigla de Disciplina,O que significa IntroProb?,,Introprob é a abreviação para: introdução à probabilidade,4
146,Significado de Sigla de Disciplina,Você pode me dizer o que introprob significa?,,Introprob é a abreviação para: introdução à probabilidade,8
147,Significado de Sigla de Disciplina,Você pode me explicar o que TC significa,,Tc é a abreviação de: teoria da computação,8
148,Significado de Sigla de Disciplina,Me diga o que é tc,,Tc significa: teoria da computação,6
149,Significado de Sigla de Disciplina,Pode me dar a definição de teoria?,,Teoria é uma forma de chamar: teoria da computação,7
150,Significado de Sigla de Disciplina,Você pode me explicar o que BD significa,,Bd é: banco de dados 1,8
151,Significado de Sigla de Disciplina,Pode me dar a definição de bd?,,Bd é uma forma de chamar: banco de dados 1,7
152,Significado de Sigla de Disciplina,O que significa bd1?,,Bd1 é uma forma que dão nome para: banco de dados 1,4
153,Significado de Sigla de Disciplina,Qual é o significado dessa sigla: BD1?,,Bd1 é a sigla de: banco de dados 1,7
154,Significado de Sigla de Disciplina,Você pode me dizer o que OAC significa?,,Oac é uma forma que dão nome para: organização e arquitetura de computadores,8
155,Significado de Sigla de Disciplina,Você pode me explicar o que oac significa,,Oac é: organização e arquitetura de computadores,8
156,Significado de Sigla de Disciplina,Qual é o significado dessa sigla: arquitetura?,,"Mais de uma disciplina é chamada por arquitetura, são elas: organização e arquitetura de computadores e arquitetura de software",7
157,Significado de Sigla de Disciplina,Você pode me explicar o que PLP significa,,Plp significa: paradigmas de linguagens de programação,8
158,Significado de Sigla de Disciplina,Você pode me explicar o que plp significa,,Plp significa: paradigmas de linguagens de programação,8
159,Significado de Sigla de Disciplina,Poderia explicar o que Paradigmas quer dizer?,,Paradigmas é a sigla de: paradigmas de linguagens de programação,7
160,Significado de Sigla de Disciplina,O que significa paradigmas?,,Paradigmas é a sigla de: paradigmas de linguagens de programação,4
161,Significado de Sigla de Disciplina,Poderia explicar o que Estatística quer dizer?,,Estatística é como chamam: estatística aplicada,7
162,Significado de Sigla de Disciplina,Qual é o significado dessa sigla: estatística?,,Estatística aplicada é o significado para estatística,7
163,Significado de Sigla de Disciplina,Qual é o significado dessa sigla: Estatistica?,,Estatistica é a sigla de: estatística aplicada,7
164,Significado de Sigla de Disciplina,Pode me dar a definição de estatistica?,,Estatistica é uma forma de chamar: estatística aplicada,7
165,Significado de Sigla de Disciplina,Poderia explicar o que PSoft quer dizer?,,Psoft é uma forma que dão nome para: projeto de software,7
166,Significado de Sigla de Disciplina,Você pode esclarecer o significado de psoft para mim?,,Projeto de software é o significado para psoft,9
167,Significado de Sigla de Disciplina,Você pode esclarecer o significado de ProjSoft para mim?,,Projsoft significa: projeto de software,9
168,Significado de Sigla de Disciplina,Qual é o significado dessa sigla: projsoft?,,Projsoft é como chamam: projeto de software,7
169,Significado de Sigla de Disciplina,O que é ES,,Es é como chamam: engenharia de software,4
170,Significado de Sigla de Disciplina,Pode me dar a definição de es?,,Es significa: engenharia de software,7
171,Significado de Sigla de Disciplina,Poderia explicar o que EngSoft quer dizer?,,Engsoft é: engenharia de software,7
172,Significado de Sigla de Disciplina,Você pode me dizer o que engsoft significa?,,Engsoft é a abreviação de: engenharia de software,8
173,Significado de Sigla de Disciplina,Me diga o que é Redes,,Redes significa: redes de computadores,6
174,Significado de Sigla de Disciplina,Me diga o que é redes,,Redes é a abreviação para: redes de computadores,6
175,Significado de Sigla de Disciplina,Qual disciplina é: SO?,,So é uma forma de chamar: sistemas operacionais,4
176,Significado de Sigla de Disciplina,Poderia explicar o que so quer dizer?,,So significa: sistemas operacionais,7
177,Significado de Sigla de Disciplina,Você pode me dizer o que IA significa?,,Ia é uma forma de chamar: inteligência artificial,8
178,Significado de Sigla de Disciplina,Qual disciplina é: ia?,,Inteligência artificial é o significado para ia,4
179,Significado de Sigla de Disciplina,Qual disciplina é: inteligencia?,,Inteligencia é a abreviação de: inteligência artificial,4
180,Significado de Sigla de Disciplina,Qual disciplina é: AS?,,As é uma forma que dão nome para: análise de sistemas,4
181,Significado de Sigla de Disciplina,Pode me dar a definição de as?,,As é a abreviação para: análise de sistemas,7
182,Significado de Sigla de Disciplina,Você pode me dizer o que analise significa?,,Analise é a sigla de: análise de sistemas,8
183,Significado de Sigla de Disciplina,Qual disciplina é: PC?,,Pc significa: programação concorrente,4
184,Significado de Sigla de Disciplina,O que significa pc?,,Pc significa: programação concorrente,4
185,Significado de Sigla de Disciplina,Me diga o que é Concorrente,,Concorrente é a sigla de: programação concorrente,6
186,Significado de Sigla de Disciplina,Qual disciplina é: concorrente?,,Concorrente significa: programação concorrente,4
187,Significado de Sigla de Disciplina,O que significa ATAL?,,Atal é uma forma que dão nome para: análise e técnicas de algoritmos,4
188,Significado de Sigla de Disciplina,Qual disciplina é: atal?,,Atal significa: análise e técnicas de algoritmos,4
189,Significado de Sigla de Disciplina,Pode me dar a definição de Compila?,,Compila significa: compiladores,7
190,Significado de Sigla de Disciplina,O que significa compila?,,Compila é uma forma que dão nome para: compiladores,4
191,Significado de Sigla de Disciplina,O que é Metodologia,,Metodologia é a abreviação para: metodologia científica,4
192,Significado de Sigla de Disciplina,Poderia explicar o que metodologia quer dizer?,,Metodologia é: metodologia científica,7
193,Significado de Sigla de Disciplina,O que é Projeto,,Projeto é como chamam: projeto em computação 1,4
194,Significado de Sigla de Disciplina,Qual disciplina é: Projeto 1?,,Projeto 1 é a abreviação de: projeto em computação 1,5
195,Significado de Sigla de Disciplina,O que significa projeto?,,Projeto é como chamam: projeto em computação 1,4
196,Significado de Sigla de Disciplina,Qual disciplina é: projeto 1?,,Projeto 1 é uma forma que dão nome para: projeto em computação 1,5
197,Significado de Sigla de Disciplina,Qual disciplina é: LPT?,,Lpt é a abreviação de: língua portuguesa,4
198,Significado de Sigla de Disciplina,Poderia explicar o que lpt quer dizer?,,Lpt é como chamam: língua portuguesa,7
199,Significado de Sigla de Disciplina,Você pode esclarecer o significado de portugues para mim?,,Portugues é a sigla de: língua portuguesa,9
